Treatment,N,Total_Effect,Direct_Effect,Indirect_Food,Indirect_Service,Pct_via_Food,Pct_via_Service,Pct_Mediated,Food_Importance,Service_Importance,R2_Total,R2_Mediated
drink_level,1161,0.03548752493044941,-0.018770331955541578,0.01702267588201387,0.03723518100397721,47.968056141914474,104.92470544776779,152.89276158968227,31.373660625377518,68.62633937462248,0.0013502001250054185,0.6009333912514695
color,1161,-0.034676211415697496,0.010288692939805985,-0.026869725168557925,-0.018095179186945556,77.48748802585258,52.18326468835084,129.67075271420342,59.75710513274828,40.24289486725172,0.01089159323364175,0.6014884421421822
Upayment,1161,-0.014719457361060754,0.0024884876582637913,-0.014087098171173191,-0.003120846848151363,95.70392321961253,21.20218681707204,116.90611003668458,81.86391899412367,18.136081005876335,0.0010299942646245785,0.6005889293061382
